Actual,Predicted AB,Actual Error of AB,MAE of AB,MAPE of AB
88,86,2,0.022727273,2.272727273
88,86,2,0.022727273,2.272727273
89,86,3,0.033707865,3.370786517
90,68,22,0.244444444,24.44444444
88,86,2,0.022727273,2.272727273
85,68,17,0.2,20
84,68,16,0.19047619,19.04761905
86,86,0,0,0
84,68,16,0.19047619,19.04761905
82,68,14,0.170731707,17.07317073
86,86,0,0,0
80,86,6,0.075,7.5
80,86,6,0.075,7.5
86,86,0,0,0
88,86,2,0.022727273,2.272727273
88,68,20,0.227272727,22.72727273
88,86,2,0.022727273,2.272727273
88,86,2,0.022727273,2.272727273
90,86,4,0.044444444,4.444444444
90,86,4,0.044444444,4.444444444
90,68,22,0.244444444,24.44444444
90,68,22,0.244444444,24.44444444
86,68,18,0.209302326,20.93023256
81,68,13,0.160493827,16.04938272
82,86,4,0.048780488,4.87804878
81,86,5,0.061728395,6.172839506
83,86,3,0.036144578,3.614457831
84,86,2,0.023809524,2.380952381
86,86,0,0,0
86,86,0,0,0
84,68,16,0.19047619,19.04761905
